GSS Product Name,GSS Product ID,Brand,Model,Current Everyday Price,New Everyday Price,Variance In Price,% Variance,,Current Sale Price,New Sale Price,Variance In Price,% Variance
Carrera 1014 Gloss Black Gold Brown Gradient (1014-807),253,Carrera,1014-807,$167.95,$147.76,-$20.19,-12.0%,,$0.00,#REF!,#REF!,#REF!
Carrera 1014 Matte Black Gold Mirror (1014-I46),255,,1014-I46,$167.95,$147.76,-$20.19,-12.0%,,$0.00,#REF!,#REF!,#REF!
Carrera 1014 Matte Black Grey (1014 003),251,,1014-003,$164.95,$147.76,-$17.19,-10.4%,,$0.00,#REF!,#REF!,#REF!
Carrera Grand Prix 2 Black Crystal White (T4M),2056,Carrera,T4M,$166.95,$157.13,-$9.82,-5.9%,,$0.00,#REF!,#REF!,#REF!
Carrera Grand Prix 2 Black Blue Crystal White Blue Gradient (T5C08),2058,,T5C08,$164.95,$157.13,-$7.82,-4.7%,,$0.00,#REF!,#REF!,#REF!
Carrera Grand Prix 2 Black White Red Black Gradient (T406490),2054,,T406490,$163.95,$157.13,-$6.82,-4.2%,,$0.00,#REF!,#REF!,#REF!
Dragon Fame Matte Black frame with Silver Ionised lens (720-2322),1288,Dragon,720-2322,$157.95,$157.00,-$0.95,-0.6%,,$0.00,#REF!,#REF!,#REF!
Dragon Fame Jet Black frame Grey Lens (720-1496),1254,,720-1496,$157.95,$157.00,-$0.95,-0.6%,,$0.00,#REF!,#REF!,#REF!
Dragon Fame Matte Black Rose Gold Ionised (720-2213),1272,,720-2213,$157.95,$157.00,-$0.95,-0.6%,,$0.00,#REF!,#REF!,#REF!
Dragon Fame Shiny Tortoisheshell Green Lens (22494-240),679,,22494-240,$157.95,$157.00,-$0.95,-0.6%,,$0.00,#REF!,#REF!,#REF!
Dragon Fame Grey Matter Pearl Ion (2214),673,,2214,$157.95,$157.00,-$0.95,-0.6%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Polarised Matte Black H20 Green (720-2196),1266,Dragon,720-2196,$209.95,,,,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Polarised Matte Black H20 Blue Ionised (720-2268),1282,,720-2268,$209.95,,,,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Polarised H20 Matte Black Petrol (22511-003),701,,22511-003,$209.95,,,,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Matte Black Rose Gold Ionised lens (720-2221),1276,Dragon,720-2221,$157.95,$166.00,$8.05,5.1%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Polished Walnut Bronze lens (720-2400),1308,,720-2400,$157.95,$166.00,$8.05,5.1%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Jet Black with Grey lens (720-1832),1256,,720-1832,$157.95,$166.00,$8.05,5.1%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Matte Black Copper Ionised (22508-011),697,,22508-011,$157.95,$166.00,$8.05,5.1%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Remix Green Nebula Green lens (720-2149),1262,Dragon,720-2149,$174.95,,,,,$0.00,,$0.00,#DIV/0!
Dragon The Jam Remix Matt Black Silver Ionised (720-2341),1294,,720-2341,$174.95,,,,,$0.00,,$0.00,#DIV/0!
Dragon The Jam Remix Matte Black Rose Gold Ionised (720-2343),1296,,720-2343,$174.95,,,,,$0.00,,$0.00,#DIV/0!
Dragon The Jam Remix Jet Black Grey lens (720-2112),1260,,720-2112,$174.95,,,,,$0.00,,$0.00,#DIV/0!
Dragon The Jam Remix Matte Woodgrain Bronze Ionised (22504-229),687,,22504-229,$174.95,,,,,$0.00,,$0.00,#DIV/0!
Dragon The Jam Remix Polarised Matte Black Grey (720-2364),1298,Dragon,720-2364,$199.95,$201.00,$1.05,0.5%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Remix Polarised Matte Woodgrain Bronze Ion (27656-230),745,,27656-230,$201.95,$201.00,-$0.95,-0.5%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Remix Polarised Coal Grey (27656-015),743,,27656-015,$199.95,$201.00,$1.05,0.5%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Remix Black Leopard Bronze Gradient (22504-008),685,Dragon,22504-008,$164.95,$175.00,$10.05,6.1%,,$0.00,#REF!,#REF!,#REF!
Dragon The Jam Remix Polished Walnut Copper (22503-851),683,,22503-851,$164.95,$175.00,$10.05,6.1%,,$0.00,#REF!,#REF!,#REF!
Le Specs Armada Dark Havana Brown Gradient (1902004),561,Le Specs,1902004,$53.95,$45.70,-$8.25,-15.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Armada Gloss Black Grey Gradient (1902089),587,,1902089,$52.95,$45.70,-$7.25,-13.7%,,$0.00,#REF!,#REF!,#REF!
Le Specs Armada Gloss Black Ice Fire Mirror (1902005),10206,,1902005,$52.95,$45.70,-$7.25,-13.7%,,$0.00,#REF!,#REF!,#REF!
Le Specs Armada Mocha Peach Mirror (1902134),10226,,1902134,$53.00,$45.70,-$7.30,-13.8%,,$0.00,#REF!,#REF!,#REF!
Le Specs Bandwagon Black Rubber with Grey (1502053),371,Le Specs,1502053,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Bandwagon Matte Ice Blue (1500259),369,,1500259,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Bandwagon Matte Ice Gold (1702090),421,,1702090,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
